App#,Roll#,Score,UR-Rank,Category-Ranks
N26113399,139061053836,71.55,,172
N26126815,108800121134,71.55,,171
N26109454,137518031669,71.5,,173
N26083172,108116116801,71.25,,174
N26014725,133647085174,71.15,,175
N26145298,115024090857,71.15,,176
N26109406,108747014975,71.0,,180
N26069565,108116117193,71.0,,178
N26110762,108743034199,71.0,,177
N26008885,107932111242,71.0,,179
N26077787,100362114668,70.85,,182
N26048414,108773085416,70.85,,181
N26027468,108320031201,70.7,,183
N26065691,140659071999,70.55,,185
N26092421,101118075098,70.55,,184
N26069290,109451050449,70.4,,187
N26143919,137536045228,70.4,,186
N26130209,130727054175,70.15,,189
N26075567,139026070915,70.15,,188
N26141325,108992093976,70.0,,191
N26060081,108665072676,70.0,,190
N26015372,109338109469,69.85,,193
N26059377,113302107415,69.85,,194
N26050793,108554049522,69.85,,192
N26105057,109577087723,69.7,,196
N26044131,114328119560,69.7,,195
N26073372,108116116578,69.55,,197
N26075968,141683076775,69.25,,199
N26055214,142250089856,69.25,,199
N26007973,133440025750,69.25,,198
N26047338,140676062357,69.0,,202
N26120677,123445100090,69.0,,201
N26117612,130632109402,69.0,,203
N26079681,101295056932,68.85,,204
N26061666,141683077690,68.7,,205
N26033068,140939013978,68.7,,206
N26023818,101897112759,68.7,,207
N26123334,101118075139,68.7,,210
N26010867,108000004578,68.7,,208
N26072746,133032054624,68.7,,209
N26040422,108017093250,68.5,,211
N26107818,114947110475,68.4,,212
N26114454,134025067090,68.4,,214
N26145938,114118095986,68.4,,213
N26010659,108116116490,68.4,,215
N26080416,109519106561,68.25,,217
N26010091,108116116690,68.25,,218
N26068074,108320031261,68.25,,216
N26113836,108449082905,68.0,,219
N26034813,108777114159,68.0,,220
N26037968,109688037053,67.85,,221
N26033545,108481042782,67.85,,222
N26000847,107932110997,67.7,,224
N26121619,134025067098,67.7,,225
N26021990,142141063145,67.7,,223
N26118783,108481043384,67.55,,228
N26128950,109451050298,67.55,,226
N26112389,108116117056,67.55,,227
N26135259,141473068687,67.4,,231
N26052457,108588048858,67.4,,229
N26021813,123887121324,67.4,,230
N26038492,125019050841,67.25,,232
N26057390,108588049385,67.25,,235
N26114250,108116117058,67.25,,234
N26059524,108800120798,67.25,,233
N26038838,108000004384,67.15,,236
N26127157,141615097435,67.1,,237
N26112098,123419112274,67.0,,238
N26062582,138806071694,66.95,,239
N26047171,115902061152,66.85,,240
