App#,Roll#,Score,UR-Rank,Category-Ranks
N26081680,100781074691,103.9,675.0,158
N26067743,141560064661,103.9,675.0,158
N26023638,100673008079,103.9,680.0,160
N26032074,140799027916,103.9,681.0,161
N26001709,123888111565,103.75,685.0,162
N26117848,141683078200,103.45,700.0,163
N26049727,107850082034,103.05,707.0,164
N26098010,108756070726,103.05,707.0,164
N26095350,100781074082,102.9,714.0,166
N26055528,138806071683,102.9,715.0,167
N26046614,141908105580,102.75,725.0,168
N26142201,101118074943,102.6,730.0,169
N26126142,138190069159,102.6,737.0,170
N26123470,115858065231,102.5,739.0,171
N26023015,140140047180,102.5,740.0,172
N26145984,142118067484,102.45,744.0,173
N26138661,115863067369,102.45,745.0,174
N26090199,140672055952,102.3,750.0,175
N26135032,104800085757,102.05,761.0,176
N26086569,124271082317,102.05,762.0,177
N26091850,101863023669,101.9,768.0,178
N26072335,101118075289,101.9,769.0,179
N26017015,133404095313,101.9,778.0,180
N26096711,133035081160,101.75,780.0,181
N26111888,124271082360,101.75,790.0,182
N26043277,112176035451,101.6,799.0,183
N26047916,137492020838,101.6,800.0,184
N26136641,101275081719,101.6,801.0,185
N26081533,130524037361,101.6,804.0,186
N26012787,108450078734,101.6,805.0,187
N26088883,116066073466,101.45,807.0,188
N26129228,114452083355,101.45,809.0,189
N26101482,107850082108,101.45,810.0,190
N26145859,135828024138,101.45,812.0,191
N26053475,111353052782,101.3,815.0,192
N26105391,107850082112,101.3,818.0,193
N26134855,139026070965,101.05,827.0,194
N26106409,140140047252,101.05,829.0,195
N26113700,109529079129,100.9,831.0,196
N26013925,108553044760,100.75,838.0,197
N26126023,112176035121,100.75,841.0,198
N26061193,107984065992,100.75,842.0,199
N26088856,142281020077,100.75,843.0,200
N26072294,123443099597,100.75,844.0,201
N26074595,140659072018,100.75,845.0,202
N26043766,109345032118,100.75,846.0,203
N26147330,108747015513,100.75,848.0,204
N26121267,141504045049,100.6,857.0,205
N26009304,141544064869,100.6,863.0,206
N26036756,109245022888,100.6,864.0,207
N26134861,115008076087,100.45,872.0,208
N26092825,140674055293,100.45,875.0,209
N26002784,108564046762,100.3,878.0,210
N26060036,141668108224,100.3,880.0,211
N26088603,137518031458,100.2,886.0,212
N26113400,108050084281,100.15,887.0,213
N26070837,108116118169,100.15,889.0,214
N26142581,108450078702,100.05,892.0,215
N26010279,135766091538,100.05,894.0,216
N26113682,137316011422,99.9,906.0,217
N26112102,108116117055,99.9,907.0,218
N26033543,141473068531,99.75,912.0,219
N26122977,133901006562,99.75,920.0,220
N26069241,116699059517,99.75,921.0,221
N26094817,108554049834,99.75,921.0,221
N26010925,109346023283,99.6,931.0,223
N26096403,100141073853,99.6,934.0,224
N26000166,140220014169,99.2,952.0,225
N26117482,107850082147,99.15,955.0,226
N26141043,123515063909,99.05,958.0,227
N26044860,138758091654,99.0,962.0,228
N26068466,142118067418,98.9,968.0,229
N26127783,109451050293,98.9,969.0,230
N26090021,108752086808,98.75,975.0,231
N26119286,140670062301,98.6,979.0,232
N26088109,109500104270,98.6,983.0,233
N26025974,122988027708,98.6,984.0,234
N26098977,137404037624,98.45,993.0,235
N26123199,124868095103,98.3,1002.0,236
N26051880,107953036882,98.3,1004.0,237
N26117795,112176035110,98.3,1005.0,238
N26149240,108450078485,98.3,1006.0,239
N26134098,140082029492,98.05,1018.0,240
N26075200,133952105331,97.9,1028.0,241
N26079327,107797120369,97.9,1031.0,242
N26120665,100673008175,97.9,1033.0,243
N26135916,108992093967,97.85,1034.0,244
N26076041,112175086635,97.75,1036.0,245
N26139886,115822080862,97.75,1037.0,246
N26021727,112176035409,97.75,1049.0,247
N26023451,141683076961,97.75,1051.0,248
N26143406,142226108568,97.6,1057.0,249
N26130494,104273008596,97.6,1058.0,250
N26112321,108450078425,97.45,1071.0,251
N26093929,108800121082,97.45,1075.0,252
N26072039,127299044569,97.45,1077.0,253
N26126521,141881064160,97.45,1077.0,253
N26032884,130727054056,97.45,1082.0,255
N26087105,108320031059,97.3,1089.0,256
N26002183,114403017189,97.15,1098.0,257
N26133870,109208002324,96.9,1111.0,258
N26000179,109519106504,96.9,1112.0,259
N26070061,114449080368,96.9,1113.0,260
N26109903,107998051351,96.9,1114.0,261
N26099231,114403016902,96.75,1117.0,262
N26138983,109697098164,96.75,1119.0,263
N26060744,115008075820,96.75,1125.0,264
N26145156,109499104155,96.75,1127.0,265
N26036132,115806098656,96.75,1128.0,266
N26044385,133400100642,96.6,1133.0,267
N26029992,101118075237,96.6,1135.0,268
N26126167,108774086328,96.6,1143.0,269
N26041851,124823010669,96.45,1151.0,270
N26039978,139061053806,96.45,1152.0,271
N26123366,109002009535,96.45,1155.0,272
N26039231,107932111280,96.45,1158.0,273
N26068686,108765096277,96.3,1162.0,274
N26063902,108763068145,96.3,1163.0,275
N26104199,142117069854,96.3,1165.0,276
N26109793,141686085655,96.3,1168.0,277
N26113542,138960091851,96.15,1170.0,278
N26032569,108554049969,96.15,1174.0,279
N26017363,122988027703,96.15,1176.0,280
N26063358,141549060799,96.05,1178.0,281
N26041726,124823010668,95.9,1181.0,282
N26137067,107998051382,95.9,1182.0,283
N26132451,104595046387,95.9,1183.0,284
N26047853,140939013999,95.75,1192.0,285
N26125850,134028119194,95.75,1195.0,286
N26068789,107998051293,95.6,1199.0,287
N26080860,138696011595,95.6,1204.0,288
N26112980,101118074897,95.6,1206.0,289
N26069272,127299044566,95.6,1207.0,290
N26054021,100141073621,95.6,1209.0,291
N26144239,133952105367,95.45,1215.0,292
N26136513,128910094292,95.45,1216.0,293
N26150210,138141001264,95.45,1219.0,294
N26074243,107984066244,95.45,1220.0,295
N26019351,140676062542,95.45,1223.0,296
N26095263,109105001557,95.45,1228.0,297
N26041341,107967038047,95.4,1229.0,298
N26018244,141585088556,95.3,1234.0,299
N26122786,114449080422,95.3,1238.0,300
N26148796,115806099109,95.15,1245.0,301
N26064002,109002009441,95.15,1249.0,302
N26055854,102090085999,94.95,1258.0,303
N26071428,142247067282,94.9,1259.0,304
N26047172,123401107835,94.9,1261.0,305
N26034181,109208002167,94.85,1266.0,306
N26084521,109208002458,94.85,1267.0,307
N26010293,114389051604,94.75,1273.0,308
N26038800,107745075565,94.75,1276.0,309
N26068007,101976054997,94.65,1279.0,310
N26010743,140713019350,94.6,1282.0,311
N26098087,141896044308,94.6,1283.0,312
N26036452,108564046805,94.6,1286.0,313
N26125078,116596079627,94.6,1287.0,314
N26127531,101275081702,94.6,1288.0,315
N26089234,115806098869,94.45,1290.0,316
N26142912,100781074394,94.45,1293.0,317
N26107399,141010026004,94.45,1294.0,318
N26058874,128725039083,94.45,1295.0,319
N26124830,128936037552,94.45,1297.0,320
N26043765,137100045323,94.45,1299.0,321
N26063439,107967038098,94.45,1302.0,322
N26057220,133400100652,94.45,1303.0,323
N26043640,137368051813,94.45,1304.0,324
N26092937,122988027784,94.3,1315.0,325
N26019835,107997084739,94.3,1317.0,326
N26017914,109208001918,94.3,1319.0,327
N26138271,134022061717,94.3,1320.0,328
N26087140,108040016610,94.3,1321.0,329
N26079684,108044103415,94.3,1322.0,330
N26031809,141542066646,94.05,1338.0,331
N26009973,114089098416,94.05,1339.0,332
N26004562,137518031369,93.9,1346.0,333
N26127320,108481043404,93.9,1347.0,334
N26103990,140660040321,93.75,1355.0,335
N26124672,108348020765,93.75,1356.0,336
N26067634,107850081820,93.75,1357.0,337
N26110895,101262112714,93.75,1358.0,338
N26003070,115024090653,93.75,1359.0,339
N26105724,131398061469,93.75,1360.0,340
N26088216,140673055160,93.6,1368.0,341
N26043134,109058007169,93.6,1370.0,342
N26117541,138814082575,93.6,1374.0,343
N26078583,141478042135,93.6,1381.0,344
N26067927,109577087441,93.45,1386.0,345
N26099898,140039061951,93.45,1391.0,346
N26113258,104869057389,93.45,1391.0,346
N26132272,138814082596,93.45,1397.0,348
N26050525,133405094333,93.45,1399.0,349
N26045688,108554049746,93.45,1403.0,350
N26070272,140670062266,93.45,1405.0,351
N26026552,114995104689,93.45,1406.0,352
N26128473,107995063711,93.3,1408.0,353
N26054446,115822080931,93.3,1409.0,354
N26131631,107984066340,93.3,1412.0,355
N26107277,140938040524,93.3,1422.0,356
N26035270,141478042083,93.3,1424.0,357
N26122863,133978079856,93.15,1428.0,358
N26105286,137518031483,93.15,1430.0,359
N26090652,116700059723,93.15,1431.0,360
N26133777,111378094557,93.15,1433.0,361
N26139493,101275081724,93.15,1435.0,362
N26107808,101863023904,93.15,1440.0,363
N26104755,108836038752,93.0,1445.0,364
N26118377,124271082371,93.0,1446.0,365
N26016444,108320031184,92.85,1452.0,366
N26057226,107954001056,92.75,1453.0,367
N26119961,142226108755,92.75,1456.0,368
N26049365,140043012468,92.6,1461.0,369
N26064583,137470057477,92.6,1463.0,370
N26031458,141560064647,92.6,1464.0,371
N26045063,140938040465,92.6,1466.0,372
N26016305,141683077618,92.45,1470.0,373
N26039804,100673007890,92.45,1475.0,374
N26093769,108665072736,92.45,1476.0,375
N26056671,138696011770,92.45,1479.0,376
N26059113,108665072672,92.3,1482.0,377
N26146706,111365013145,92.3,1484.0,378
N26112091,108050084656,92.3,1486.0,379
N26002223,140082029513,92.3,1487.0,380
N26108258,111395090404,92.3,1490.0,381
N26117283,128847100374,92.15,1493.0,382
N26117061,108050084286,92.15,1494.0,383
N26081268,101270072226,92.15,1495.0,384
N26132673,141478041499,92.15,1496.0,385
N26020816,140916038521,92.15,1499.0,386
